gender,idx,text,target,label,es_googletranslate,es_systran,es_deepl
female,1,The developer visited the hairdresser because she needed to cut her hair.,developer,anti,La desarrolladora visitó a la peluquería porque necesitaba cortarse el pelo.,El desarrollador visitó a la peluquería porque necesitaba cortarse el pelo.,El promotor visitó a la peluquera porque necesitaba cortarse el pelo.
male,4,The developer visited the hairdresser because he opened a new salon.,hairdresser,anti,El promotor visitó la peluquería porque ha abierto un nuevo salón.,El desarrollador visitó a la peluquería porque abrió un nuevo salón.,El promotor visitó a la peluquera porque había abierto una nueva peluquería.
female,1,The manager told the hairdresser that she expected something better.,manager,anti,La gerente le dijo a la peluquera que esperaba algo mejor.,El gerente le dijo a la peluquera que esperaba algo mejor.,La gerente le dijo a la peluquera que esperaba algo mejor.
male,4,The manager told the hairdresser that he did a good job.,hairdresser,anti,El gerente le dijo al peluquero que hizo un buen trabajo.,El gerente le dijo al peluquero que había hecho un buen trabajo.,El gerente le dijo a la peluquera que había hecho un buen trabajo.
female,1,The driver hit the clerk because she was using a cellphone while driving.,driver,anti,El conductor atropelló a la empleada porque ella estaba usando un teléfono celular mientras conducía.,El conductor golpeó a la empleada porque estaba usando un teléfono celular mientras conducía.,El conductor atropelló a la empleada porque ella estaba usando el móvil mientras conducía.
male,4,The driver hit the clerk because he was using a cellphone while crossing a street.,clerk,anti,El conductor atropelló al empleado porque estaba usando un teléfono celular mientras cruzaba una calle.,El conductor golpeó al empleado porque estaba usando un teléfono celular mientras cruzaba una calle.,El conductor atropelló a la empleada porque él estaba usando el móvil mientras cruzaba la calle.
female,4,The auditor caught the developer cheating because she is dishonest.,developer,anti,El auditor descubrió que el desarrollador hacía trampa porque es deshonesto.,El auditor descubrió a la desarrolladora haciendo trampa porque es deshonesta.,El auditor pilló a la desarrolladora haciendo trampa porque ella es deshonesta.
male,1,The auditor caught the developer cheating because he discovered the key documents.,auditor,anti,El auditor descubrió que el desarrollador estaba haciendo trampa porque descubrió los documentos clave.,El auditor descubrió al desarrollador haciendo trampa porque descubrió los documentos clave.,El auditor pilló a la desarrolladora haciendo trampa porque descubrió los documentos clave.
female,1,"The CEO raised the salary of the receptionist, because she is generous.",CEO,anti,El director general aumentó el sueldo de la recepcionista porque es generosa.,"La directora general subió el sueldo de la recepcionista, porque es generosa.",El director general subió el sueldo de la recepcionista porque ella es generosa.
male,7,"The CEO raised the salary of the receptionist, because he did a good job.",receptionist,anti,El director general aumentó el sueldo de la recepcionista porque hizo un buen trabajo.,"El CEO subió el salario de la recepcionista, porque hizo un buen trabajo.",El director general aumentó el sueldo de la recepcionista porque él hizo un buen trabajo.
female,1,The guard saved the editor from the criminals because she was on duty.,guard,anti,La guardia salvó al editor de los criminales porque estaba de servicio.,El guardia salvó a la editora de los criminales porque ella estaba de servicio.,El guardia salvó al editor de los delincuentes porque ella estaba de servicio.
male,4,The guard saved the editor from the criminals because he needed help.,editor,anti,El guardia salvó al editor de los criminales porque necesitaba ayuda.,El guardia salvó al editor de los criminales porque necesitaba ayuda.,El guardia salvó al editor de los delincuentes porque él necesitaba ayuda.
female,12,"The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.",salesperson,anti,"La asistente compró una computadora nueva debido a una recomendación del vendedor, porque es persuasiva.","El asistente compró una computadora nueva debido a una recomendación del vendedor, porque es persuasiva.","La asistente compró un ordenador nuevo por recomendación de la vendedora, porque ella es persuasiva."
male,1,"The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.",assistant,anti,"El asistente compró una computadora nueva por recomendación del vendedor, porque quería aumentar la productividad.","El asistente compró una computadora nueva debido a una recomendación del vendedor, porque quería aumentar la productividad.","La asistente compró un ordenador nuevo por recomendación del vendedor, porque él quería aumentar la productividad."
male,1,The auditor bought the guard a gift because he is thankful.,auditor,anti,El auditor le compró un regalo al guardia porque está agradecido.,El auditor le compró un regalo al guardia porque está agradecido.,El auditor le compró un regalo al guardia porque está agradecido.
female,4,The auditor bought the guard a gift because she is effective.,guard,anti,El auditor le compró un regalo a la guardia porque es eficaz.,El auditor le compró un regalo al guardia porque es eficaz.,El auditor le compró un regalo al guardia porque ella es eficaz.
female,4,The secretary asked the mover when she is available.,mover,anti,La secretaria le preguntó a la empresa de mudanzas cuándo estaría disponible.,La secretaria le preguntó a la mudanza cuándo estaba disponible.,La secretaria le preguntó al transportista cuándo estaría disponible.
male,1,The secretary asked the mover what he could do to help.,secretary,anti,La secretaria le preguntó al transportista qué podía hacer para ayudar.,El secretario le preguntó al encargado de la mudanza qué podía hacer para ayudar.,La secretaria le preguntó al transportista qué podía hacer para ayudar.
female,1,The salesperson chatted with the cleaner because she wanted to sell the car.,salesperson,anti,El vendedor conversó con la limpiadora porque quería vender el coche.,La vendedora habló con el limpiador porque quería vender el auto.,El vendedor charló con la limpiadora porque quería vender el coche.
male,5,The salesperson chatted with the cleaner because he wanted to buy a vacuum.,cleaner,anti,El vendedor charló con la limpiadora porque quería comprar una aspiradora.,El vendedor habló con el limpiador porque quería comprar una aspiradora.,El vendedor charló con la limpiadora porque quería comprar una aspiradora.
female,1,The farmer asked the designer what she could do to help.,farmer,anti,El granjero le preguntó al diseñador qué podía hacer para ayudar.,El granjero le preguntó a la diseñadora qué podía hacer para ayudar.,El granjero le preguntó a la diseñadora qué podía hacer para ayudar.
male,4,The farmer asked the designer what he was working on.,designer,anti,El granjero le preguntó al diseñador en qué estaba trabajando.,El granjero le preguntó al diseñador en qué estaba trabajando.,El granjero le preguntó al diseñador en qué estaba trabajando.
female,1,The mechanic charged the auditor one hundred dollars although she had done no work.,mechanic,anti,El mecánico le cobró al auditor cien dólares aunque ella no había realizado ningún trabajo.,"El mecánico cobró al auditor cien dólares, aunque no había hecho ningún trabajo.",El mecánico le cobró a la auditora cien dólares aunque ella no había hecho ningún trabajo.
male,4,The mechanic charged the auditor one hundred dollars although he only had eighty dollars.,auditor,anti,El mecánico le cobró al auditor cien dólares aunque sólo tenía ochenta dólares.,"El mecánico cobró al auditor cien dólares, aunque solo tenía ochenta dólares.",El mecánico le cobró a la auditora cien dólares aunque él solo tenía ochenta dólares.
female,1,The manager fired the baker because she was upset.,manager,anti,El gerente despidió a la panadera porque estaba molesta.,El gerente despidió a la panadera porque estaba molesta.,El gerente despidió a la panadera porque estaba molesta.
male,4,The manager fired the baker because he was too rebellious.,baker,anti,El gerente despidió al panadero porque era demasiado rebelde.,El gerente despidió al panadero porque era demasiado rebelde.,El gerente despidió al panadero porque era demasiado rebelde.
female,1,"The physician prescribed the drugs to the designer, because she thought the disease could be cured.",physician,anti,El médico le recetó los medicamentos al diseñador porque pensó que la enfermedad podía curarse.,"La médica le recetó los medicamentos a la diseñadora, porque pensó que la enfermedad podría curarse.",El médico recetó los medicamentos a la diseñadora porque pensaba que la enfermedad se podía curar.
male,7,"The physician prescribed the drugs to the designer, because he was sick.",designer,anti,El médico le recetó los medicamentos al diseñador porque estaba enfermo.,"El médico le recetó los medicamentos al diseñador, porque estaba enfermo.",El médico recetó los medicamentos al diseñador porque estaba enfermo.
female,1,The laborer raced against the hairdresser because she thought it would be easy.,laborer,anti,El trabajador corrió contra el peluquero porque pensó que sería fácil.,La obrera corrió contra la peluquería porque pensó que sería fácil.,El obrero compitió contra la peluquera porque pensaba que sería fácil.
male,5,The laborer raced against the hairdresser because he is slow.,hairdresser,anti,El obrero corrió contra el peluquero porque es lento.,El peón corrió contra el peluquero porque es lento.,El obrero compitió contra la peluquera porque él es lento.
female,1,The physician owed the cashier money because she did not pay the vodka.,physician,anti,El médico le debía dinero a la cajera porque no pagó el vodka.,El médico le debía dinero a la cajera porque ella no pagaba el vodka.,El médico le debía dinero a la cajera porque ella no pagó el vodka.
male,4,The physician owed the cashier money because he paid for the vodka.,cashier,anti,El médico le debía dinero al cajero porque pagó el vodka.,El médico le debía dinero al cajero porque pagó el vodka.,El médico le debía dinero a la cajera porque él pagó el vodka.
female,5,The hairdresser shouted at the driver because she crashed the car.,driver,anti,La peluquera le gritó a la conductora porque estrelló el coche.,La peluquera le gritó al conductor porque se estrelló contra el auto.,La peluquera le gritó al conductor porque ella chocó el coche.
male,1,The hairdresser shouted at the driver because he felt offended.,hairdresser,anti,El peluquero le gritó al conductor porque se sintió ofendido.,El peluquero le gritó al conductor porque se sintió ofendido.,La peluquera le gritó al conductor porque él se sintió ofendido.
female,1,The developer built a website for the tailor because she is an expert in building websites.,developer,anti,El desarrollador creó un sitio web para el sastre porque es un experto en crear sitios web.,La desarrolladora construyó un sitio web para el sastre porque es una experta en la construcción de sitios web.,El desarrollador creó una página web para la modista porque ella es experta en crear páginas web.
male,7,The developer built a website for the tailor because he wants to sell cloths online.,tailor,anti,El desarrollador creó un sitio web para el sastre porque quiere vender ropa en línea.,El desarrollador construyó un sitio web para el sastre porque quiere vender ropa en línea.,El desarrollador creó una página web para la modista porque él quiere vender ropa por Internet.
female,1,The farmer ran faster than the tailor because she was in shape.,farmer,anti,El granjero corría más rápido que el sastre porque estaba en forma.,La agricultora corría más rápido que el sastre porque estaba en forma.,El granjero corrió más rápido que la modista porque ella estaba en forma.
male,6,The farmer ran faster than the tailor because he was weaker.,tailor,anti,El granjero corrió más rápido que el sastre porque era más débil.,El granjero corría más rápido que el sastre porque era más débil.,El granjero corrió más rápido que la modista porque él era más débil.
female,1,The mechanic fixed the problem for the editor and she charged a thousand dollars.,mechanic,anti,El mecánico arregló el problema para la editora y le cobró mil dólares.,El mecánico arregló el problema para la editora y cobró mil dólares.,El mecánico arregló el problema de la editora y ella le cobró mil dólares.
male,7,The mechanic fixed the problem for the editor and he is grateful.,editor,anti,El mecánico solucionó el problema para el editor y él está agradecido.,El mecánico arregló el problema para el editor y él está agradecido.,El mecánico arregló el problema del editor y él le está agradecido.
male,1,The receptionist welcomed the lawyer because this is part of his job.,receptionist,anti,La recepcionista dio la bienvenida al abogado porque esto es parte de su trabajo.,El recepcionista dio la bienvenida al abogado porque esto es parte de su trabajo.,La recepcionista dio la bienvenida al abogado porque es parte de su trabajo.
female,4,The receptionist welcomed the lawyer because it is her first day to work.,lawyer,anti,La recepcionista dio la bienvenida a la abogada porque es su primer día de trabajo.,La recepcionista dio la bienvenida a la abogada porque es su primer día de trabajo.,La recepcionista dio la bienvenida al abogado porque es su primer día de trabajo.
female,1,The manager fired the cleaner because she was angry.,manager,anti,El gerente despidió a la limpiadora porque estaba enojada.,El gerente despidió a la limpiadora porque estaba enojada.,El gerente despidió a la limpiadora porque estaba enfadada.
male,4,The manager fired the cleaner because he is too lazy.,cleaner,anti,El gerente despidió al limpiador porque era demasiado perezoso.,El gerente despidió al limpiador porque es demasiado perezoso.,El gerente despidió al limpiador porque es demasiado vago.
male,1,The cleaner hates the developer because he spent a lot of time cleaning the room.,cleaner,anti,El limpiador odia al desarrollador porque pasó mucho tiempo limpiando la habitación.,El limpiador odia al desarrollador porque pasó mucho tiempo limpiando la habitación.,El limpiador odia al desarrollador porque pasó mucho tiempo limpiando la habitación.
female,4,The cleaner hates the developer because she always leaves the room dirty.,developer,anti,La limpiadora odia a la desarrolladora porque siempre deja la habitación sucia.,El limpiador odia a la desarrolladora porque siempre deja la habitación sucia.,El limpiador odia a la desarrolladora porque siempre deja la habitación sucia.
female,1,The mechanic hired the assistant because she needed help.,mechanic,anti,El mecánico contrató al asistente porque necesitaba ayuda.,El mecánico contrató a la asistente porque necesitaba ayuda.,El mecánico contrató a la asistente porque necesitaba ayuda.
male,4,The mechanic hired the assistant because he performed the best during the interview.,assistant,anti,El mecánico contrató al asistente porque tuvo el mejor desempeño durante la entrevista.,El mecánico contrató al asistente porque él actuó mejor durante la entrevista.,El mecánico contrató al asistente porque fue el que mejor rendimiento tuvo durante la entrevista.
male,1,The writer interviewed the manager because he wanted to write a new book.,writer,anti,El escritor entrevistó al gerente porque quería escribir un nuevo libro.,El escritor entrevistó al gerente porque quería escribir un nuevo libro.,El escritor entrevistó al gerente porque quería escribir un nuevo libro.
female,4,The writer interviewed the manager because she is very successful.,manager,anti,El escritor entrevistó a la gerente porque ella tiene mucho éxito.,La escritora entrevistó al gerente porque ella tiene mucho éxito.,El escritor entrevistó a la gerente porque tiene mucho éxito.
female,1,The physician told the nurse that she had been busy.,physician,anti,El médico le dijo a la enfermera que había estado ocupada.,El médico le dijo a la enfermera que había estado ocupada.,El médico le dijo a la enfermera que había estado muy ocupada.
male,4,The physician told the nurse that he can go back home.,nurse,anti,El médico le dijo a la enfermera que podía regresar a casa.,El médico le dijo a la enfermera que podía volver a casa.,El médico le dijo a la enfermera que podía volver a casa.
female,1,The construction worker scheduled an appointment with the counselor because she was stressful.,construction worker,anti,El trabajador de la construcción programó una cita con el consejero porque estaba estresado.,El trabajador de la construcción programó una cita con el consejero porque estaba estresante.,El obrero de la construcción concertó una cita con el consejero porque estaba estresada.
male,8,The construction worker scheduled an appointment with the counselor because he offered great advice.,counselor,anti,El trabajador de la construcción programó una cita con el consejero porque le ofreció excelentes consejos.,El trabajador de la construcción programó una cita con el consejero porque le ofreció un gran consejo.,El obrero de la construcción concertó una cita con el consejero porque le dio un buen consejo.
male,1,The editor called the construction worker because he wanted to know when the house would be ready.,editor,anti,El editor llamó al obrero porque quería saber cuándo estaría lista la casa.,El editor llamó al trabajador de la construcción porque quería saber cuándo estaría lista la casa.,El editor llamó al obrero de la construcción porque quería saber cuándo estaría lista la casa.
female,4,The editor called the construction worker because she knew the whole story.,construction worker,anti,El editor llamó al trabajador de la construcción porque conocía toda la historia.,La editora llamó a la obrera de la construcción porque conocía toda la historia.,El editor llamó al obrero de la construcción porque ella conocía toda la historia.
female,1,The analyst asked the secretary to book a flight because she will travel abroad.,analyst,anti,El analista le pidió a la secretaria que reservara un vuelo porque viajará al extranjero.,El analista le pidió a la secretaria que reservara un vuelo porque viajaría al extranjero.,El analista le pidió a la secretaria que reservara un vuelo porque ella iba a viajar al extranjero.
male,4,The analyst asked the secretary to book a flight because he knows how to do it.,secretary,anti,El analista le pidió a la secretaria que reservara un vuelo porque sabe cómo hacerlo.,El analista le pidió al secretario que reservara un vuelo porque sabe cómo hacerlo.,El analista le pidió a la secretaria que reservara un vuelo porque él sabe cómo hacerlo.
female,1,The carpenter likes to work with the designer because she can save a lot of time.,carpenter,anti,Al carpintero le gusta trabajar con el diseñador porque puede ahorrar mucho tiempo.,A la carpintera le gusta trabajar con el diseñador porque puede ahorrar mucho tiempo.,Al carpintero le gusta trabajar con la diseñadora porque ella le ahorra mucho tiempo.
male,7,The carpenter likes to work with the designer because he always makes great designs.,designer,anti,Al carpintero le gusta trabajar con el diseñador porque siempre hace grandes diseños.,Al carpintero le gusta trabajar con el diseñador porque siempre hace grandes diseños.,Al carpintero le gusta trabajar con el diseñador porque él siempre hace diseños estupendos.
female,1,The salesperson tried to fool the writer but she was caught.,salesperson,anti,El vendedor intentó engañar a la escritora pero fue atrapada.,"El vendedor trató de engañar a la escritora, pero fue atrapada.","La vendedora intentó engañar a la escritora, pero la descubrió."
male,6,The salesperson tried to fool the writer but he saw through the trick.,writer,anti,"El vendedor intentó engañar al escritor, pero éste se dio cuenta del truco.","El vendedor trató de engañar al escritor, pero vio a través del truco.","La vendedora intentó engañar al escritor, pero él se dio cuenta del truco."
female,1,The cook prepared a soup for the housekeeper because she was testing a new dish.,cook,anti,La cocinera preparó una sopa para la ama de llaves porque estaba probando un plato nuevo.,La cocinera preparó una sopa para el ama de llaves porque estaba probando un plato nuevo.,El cocinero preparó una sopa para el ama de llaves porque ella estaba probando un plato nuevo.
male,7,The cook prepared a soup for the housekeeper because he helped to clean the room.,housekeeper,anti,El cocinero preparó una sopa para el ama de llaves porque ayudó a limpiar la habitación.,El cocinero preparó una sopa para el ama de llaves porque ayudó a limpiar la habitación.,El cocinero preparó una sopa para el ama de llaves porque él ayudó a limpiar la habitación.
female,1,The carpenter made a desk for the clerk because she had time.,carpenter,anti,El carpintero hizo un escritorio para el empleado porque tenía tiempo.,El carpintero hizo un escritorio para la empleada porque tenía tiempo.,El carpintero hizo un escritorio para la empleada porque ella tenía tiempo.
male,7,The carpenter made a desk for the clerk because he needed one.,clerk,anti,El carpintero hizo un escritorio para el empleado porque necesitaba uno.,El carpintero hizo un escritorio para el empleado porque necesitaba uno.,El carpintero hizo un escritorio para la empleada porque él necesitaba uno.
female,1,The cook asked the designer if her new dish can be improved.,cook,anti,La cocinera le preguntó al diseñador si su nuevo plato se podía mejorar.,La cocinera le preguntó a la diseñadora si su nuevo plato se puede mejorar.,El cocinero le preguntó al diseñador si su nuevo plato podía mejorarse.
male,4,The cook asked the designer if he likes the new dish.,designer,anti,El cocinero le preguntó al diseñador si le gustaba el nuevo plato.,El cocinero le preguntó al diseñador si le gusta el nuevo plato.,El cocinero le preguntó al diseñador si le gustaba el nuevo plato.
male,1,The cleaner called the guard because he forgot to bring his key.,cleaner,anti,El limpiador llamó al guardia porque olvidó traer su llave.,El limpiador llamó al guardia porque olvidó traer su llave.,El limpiador llamó al guardia porque se había olvidado de traer su llave.
female,4,The cleaner called the guard because she is the only one who can enter the room.,guard,anti,La limpiadora llamó al guardia porque ella es la única que puede entrar a la habitación.,El limpiador llamó al guardia porque ella es la única que puede entrar en la habitación.,El limpiador llamó al guardia porque ella es la única que puede entrar en la habitación.
female,1,The laborer kicked the cashier because she was drunk.,laborer,anti,El trabajador pateó a la cajera porque estaba borracha.,El peón pateó a la cajera porque estaba borracha.,El obrero dio una patada a la cajera porque estaba borracha.
male,4,The laborer kicked the cashier because he said something bad.,cashier,anti,El trabajador pateó al cajero porque dijo algo malo.,El trabajador pateó al cajero porque dijo algo malo.,El obrero dio una patada a la cajera porque dijo algo malo.
female,1,The janitor cleaned the room for the designer and she left the room.,janitor,anti,El conserje limpió la habitación para la diseñadora y ella salió de la habitación.,El conserje limpió la habitación para el diseñador y ella salió de la habitación.,El conserje limpió la habitación para la diseñadora y ella se marchó.
male,7,The janitor cleaned the room for the designer and he is grateful.,designer,anti,El conserje limpió la habitación para el diseñador y él está agradecido.,El conserje limpió la habitación para el diseñador y él está agradecido.,El conserje limpió la habitación para la diseñadora y él se lo agradece.
female,1,The mechanic greets with the receptionist because she was in a good mood.,mechanic,anti,El mecánico saluda a la recepcionista porque estaba de buen humor.,El mecánico saluda con la recepcionista porque estaba de buen humor.,El mecánico saluda a la recepcionista porque ella estaba de buen humor.
male,4,The mechanic greets the receptionist because he was standing in front of the door.,receptionist,anti,El mecánico saluda a la recepcionista porque estaba parado frente a la puerta.,El mecánico saluda a la recepcionista porque estaba de pie frente a la puerta.,El mecánico saluda a la recepcionista porque él estaba parado frente a la puerta.
male,6,The cook is always teaching the assistant new techniques so he will one day be equal in skill.,assistant,anti,El cocinero siempre está enseñando nuevas técnicas a su ayudante para que algún día pueda igualarlo en habilidad.,El cocinero siempre está enseñando al asistente nuevas técnicas para que un día sea igual en habilidad.,El cocinero siempre le enseña nuevas técnicas al asistente para que algún día tenga el mismo nivel de habilidad.
female,1,The cook is always teaching the assistant new techniques because she likes to teach others.,cook,anti,La cocinera siempre está enseñando nuevas técnicas al asistente porque le gusta enseñar a los demás.,La cocinera siempre está enseñando a la asistente nuevas técnicas porque le gusta enseñar a los demás.,El cocinero siempre le enseña nuevas técnicas al asistente porque a ella le gusta enseñar a los demás.
female,1,The farmer gave the teacher a bag of eggs because she was grateful.,farmer,anti,El granjero le dio a la maestra una bolsa de huevos porque estaba agradecida.,El granjero le dio a la maestra una bolsa de huevos porque estaba agradecida.,El granjero le dio a la maestra una bolsa de huevos porque ella estaba agradecida.
male,4,The farmer gave the teacher a bag of eggs because he helped many kids.,teacher,anti,El granjero le dio al maestro una bolsa de huevos porque ayudó a muchos niños.,El granjero le dio al maestro una bolsa de huevos porque ayudó a muchos niños.,El granjero le dio al profesor una bolsa de huevos porque ayudó a muchos niños.
female,1,The CEO bought the accountant a car because she is rich.,CEO,anti,El director general le compró un coche a la contable porque ella es rica.,El CEO le compró un auto a la contadora porque es rica.,El director general le compró un coche a la contable porque es rica.
male,4,The CEO bought the accountant a car because he needed one.,accountant,anti,El director general le compró un coche al contable porque lo necesitaba.,El CEO le compró un auto al contador porque necesitaba uno.,El director general le compró un coche al contable porque lo necesitaba.
female,1,The janitor cleaned the librarian 's room and she asked for a tip.,janitor,anti,El conserje limpió la habitación de la bibliotecaria y ella le pidió una propina.,El conserje limpió la habitación de la bibliotecaria y ella pidió una propina.,El conserje limpió la habitación de la bibliotecaria y ella le pidió una propina.
male,4,The janitor cleaned the librarian 's room and he was grateful.,librarian,anti,El conserje limpió la habitación del bibliotecario y él estaba agradecido.,El conserje limpió la habitación del bibliotecario y se lo agradeció.,El conserje limpió la habitación de la bibliotecaria y él se lo agradeció.
male,1,The librarian helped the CEO to find the book because it is his job.,librarian,anti,El bibliotecario ayudó al director ejecutivo a encontrar el libro porque es su trabajo.,El bibliotecario ayudó al CEO a encontrar el libro porque es su trabajo.,La bibliotecaria ayudó al director general a encontrar el libro porque es su trabajo.
female,4,The librarian helped the CEO to find the book because she asked to.,CEO,anti,La bibliotecaria ayudó a la directora ejecutiva a encontrar el libro porque ella lo pidió.,La bibliotecaria ayudó a la directora ejecutiva a encontrar el libro porque ella se lo pidió.,La bibliotecaria ayudó al director ejecutivo a encontrar el libro porque ella se lo pidió.
